Vernier Format 2
Sin título.cmbl 8/05/2025 11:56:06 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.5602905	-0.00381111111111	-0.116958765432	0	0.0193925472444	1.34454994228
0.1	0.5602905	-0.00905138888889	-0.139417854938	0	0.0678739153553	1.75825761682
0.15	0.5596045	-0.015778	-0.175469907407	0	0.180350689373	2.15580483533
0.2	0.5589185	-0.0260108333333	-0.215782993827	0.0174532925199	0.31028075591	2.10947819469
0.25	0.5572035	-0.0401119444444	-0.20406382716	0.0349065850399	0.387850944888	2.010360731
0.3	0.554631	-0.0490680555556	-0.141720401235	0.0523598775598	0.513902501976	1.75825761682
0.35	0.5520585	-0.053165	-0.0994064814815	0.0872664625997	0.610865238198	0.791862345812
0.4	0.5493145	-0.0566902777778	-0.108722530864	0.12217304764	0.562383870087	0.48481368111
0.45	0.546399	-0.0613588888889	-0.176528549383	0.13962634016	0.581776417331	1.64297969709
0.5	0.5434835	-0.0726016666667	-0.274347067901	0.174532925199	0.717524248042	3.06509982835
0.55	0.539539	-0.0914666666667	-0.316533950617	0.209439510239	0.911449720486	3.95931172906
0.6	0.5342225	-0.108711944444	-0.264713425926	0.261799387799	1.17324910829	3.51759259738
0.65	0.5283915	-0.119954722222	-0.160437191358	0.331612557879	1.32838948624	1.77765016407
0.7	0.522046	-0.125671388889	-0.0395932098765	0.401425727959	1.34778203348	0.123896829617
0.75	0.5153575	-0.122241388889	0.0388521604938	0.471238898038	1.27021184451	-0.177765016407
0.8	0.509698	-0.116429444444	0.0113804012346	0.523598775598	1.27021184451	0.775701889775
0.85	0.50421	-0.119001944444	-0.0685470679012	0.593411945678	1.36717458073	1.60527196634
0.9	0.4978645	-0.124813888889	-0.127301697531	0.663225115758	1.43504849608	2.44561568026
0.95	0.4916905	-0.1311975	-0.174622993827	0.733038285838	1.59018887404	3.63610260832
1	0.485345	-0.146727777778	-0.118832561728	0.820304748437	1.79381062011	4.84274999242
1.05	0.476427	-0.150729444444	0.0973950617284	0.907571211037	2.09439510239	5.58613097012
1.1	0.469567	-0.138343333333	0.359885339506	1.02974425868	2.4046758583	5.16057229448
1.15	0.462364	-0.116524722222	0.6388375	1.15191730632	2.63738642524	3.84080171812
1.2	0.456533	-0.0689811111111	0.786941512346	1.29154364648	2.85070444492	1.20126056542
1.25	0.4556755	-0.0244863888889	0.671337808642	1.44862327916	2.82161562406	-2.48332341102
1.3	0.455161	0.000190555555556	0.492374382716	1.58824961931	2.51133486815	-4.47105950357
1.35	0.4556755	0.0218186111111	0.361208641975	1.69296937443	2.27862430121	-4.48183314092
1.4	0.457905	0.0324897222222	0.313199228395	1.81514242207	2.06530628153	-4.06704810264
1.45	0.458591	0.0485916666667	0.356815277778	1.90240888467	1.83259571459	-2.77959843836
1.5	0.462364	0.0712677777778	0.358720833333	1.98967534727	1.76472179924	-1.0773637358
1.55	0.4663085	0.0850830555556	0.351310339506	2.07694180987	1.75502552562	0.0915759175427
1.6	0.470596	0.103662222222	0.379734876543	2.16420827247	1.78411434648	0.915759175429
1.65	0.476427	0.125576111111	0.359832407407	2.25147473507	1.8810770827	0.953466906182
1.7	0.4834585	0.142345	0.286733179012	2.35619449019	1.91016590357	0.32320912074
1.75	0.490833	0.154445277778	0.20410617284	2.44346095279	1.91016590357	-0.32320912074
1.8	0.499065	0.162734444444	0.124125771605	2.54818070791	1.8810770827	-0.96424054354
1.85	0.5074685	0.164163611111	0.0881319444444	2.63544717051	1.78411434648	-0.991174636935
1.9	0.5150145	0.171785833333	0.0502325617284	2.72271363311	1.75502552562	-0.474040043751
1.95	0.5249615	0.173215	-0.0452040123457	2.80998009571	1.74532925199	-3.53791070514E-13
2	0.533022	0.163210833333	-0.0657416666667	2.89724655831	1.75502552562	0.474040043751
2.05	0.5407395	0.161972222222	-0.00391697530864	2.98451302091	1.78411434648	0.991174636935
2.1	0.5489715	0.165116388889	0.0240841049383	3.07177948351	1.8810770827	0.969627362219
