Vernier Format 2
Sin título.cmbl 8/05/2025 11:54:39 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.1	0.5376525	-0.1569225	-0.0706484722222	0.10471975512	1.67745533664	1.50373043424
0.2	0.522732	-0.165640416667	-0.0333432523148	0.261799387799	1.82047537257	1.53241524371
0.3	0.504896	-0.170585333333	0.0479406018519	0.453785605519	1.99549311145	1.39505136739
0.4	0.487746	-0.16464	0.200482970679	0.663225115758	2.1428764705	0.845865203069
0.5	0.4697385	-0.134389305556	0.38630375	0.890117918517	2.20590224905	-0.139114592385
0.6	0.4580765	-0.0769368055556	0.465680725309	1.11701072128	2.12348392326	-1.1630141528
0.7	0.4553325	-0.0270588888889	0.405671604938	1.32645023152	1.91986217719	-1.58641810096
0.8	0.4546465	0.005145	0.32350775463	1.50098315672	1.72108856794	-1.12853851325
0.9	0.456876	0.0305365277778	0.296843209877	1.65806278939	1.64836651577	-0.21412604249
1	0.4597915	0.0622640277778	0.292860069444	1.81514242207	1.72593670475	0.257220591922
1.1	0.469224	0.0942773611111	0.246398919753	2.00712863979	1.77926620967	-0.0552148914597
1.2	0.4800285	0.11361875	0.176131558642	2.18166156499	1.73078484156	-0.597936873368
1.3	0.492205	0.128148611111	0.110111998457	2.35619449019	1.63867024215	-0.96424054354
1.4	0.505925	0.137152361111	0.0311505401235	2.51327412287	1.50777054825	-1.02618895835
1.5	0.520674	0.135103888889	-0.0490945216049	2.65290046303	1.41565594884	-0.898252014722
1.6	0.533708	0.124385138889	-0.0952380787037	2.79252680319	1.3526301703	-0.91037235675
1.7	0.545713	0.111522638889	-0.088409837963	2.93215314335	1.22657861321	-0.770315071096
1.8	0.5558315	0.101661388889	-0.0266777777778	3.03687289847	1.12961587699	0.0175071607067
1.9	0.564921	0.103995694444	0.053937808642	3.14159265359	1.19748979234	1.0908307825
2	0.575554	0.116715277778	0.0882510416667	3.26376570123	1.3962634016	1.69011436053
2.1	0.588245	0.129815972222	0.0376214891975	3.42084533391	1.60958142128	1.51773616281
2.2	0.602994	0.12819625	-0.0626583719136	3.59537825911	1.73078484156	0.918452584769
2.3	0.6144845	0.117239305556	-0.167119868827	3.76991118431	1.79865875692	0.193925472444
2.4	0.6275185	0.0940391666667	-0.257819020062	3.96189740203	1.77926620967	-0.564269256625
2.5	0.6343785	0.0596438888889	-0.284615895062	4.13643032723	1.65321465258	-0.900945424062
2.6	0.6384945	0.03301375	-0.263350424383	4.29350995991	1.5271630955	-0.478080157761
2.7	0.6412385	0.00557375	-0.223889544753	4.43313630007	1.49807427463	0.511747774505
2.8	0.638666	-0.0121955555556	-0.186850308642	4.57276264023	1.65806278939	1.25243534287
2.9	0.6381515	-0.0254868055556	-0.21093441358	4.76474885794	1.83744385141	1.17836658603
3	0.6347215	-0.0496873611111	-0.271898958333	4.95673507566	1.89077335633	0.956160315522
3.1	0.6295765	-0.0853688888889	-0.276173225309	5.13126800086	2.01682491342	0.654498469498
3.2	0.6172285	-0.116095972222	-0.174278935185	5.35816080362	2.11863578645	-0.492893909128
3.3	0.6038515	-0.1226225	-0.0469110725309	5.58505360638	1.94410286125	-1.78303698275
3.4	0.591675	-0.117334583333	0.0041419367284	5.75958653158	1.64351837896	-1.94733495246
3.5	0.5808705	-0.114666805556	-0.0231180941358	5.89921287174	1.45928918014	-1.09217748717
3.6	0.56938	-0.119525972222	-0.0838576774691	6.0388392119	1.42050408565	-0.0471346634412
3.7	0.5575465	-0.131769166667	-0.136604513889	6.17846555206	1.46413731695	0.816103029868
3.8	0.543998	-0.152158611111	-0.130437924383	6.31809189222	1.63382210534	1.11103135254
3.9	0.526505	-0.166116805556	-0.0410091435185	6.51007810994	1.75987366243	0.701633132939
4	0.5088405	-0.161067083333	0.0656358024691	6.68461103514	1.75987366243	0.397277877576
4.1	0.4940915	-0.15049125	0.156665779321	6.85914396034	1.77926620967	0.6410314228
4.2	0.478142	-0.130816388889	0.254696026235	7.03367688554	1.86653267227	1.10160441985
